SWIFT CODE;ADDRESS;NAME;COUNTRY ISO2 CODE;COUNTRY NAME;IS HEADQUARTER
BCECCLR2XXX;  ;BANCO CENTRAL DE CHILE;CL;CHILE;1
LLBBLV2X222;ANTONIJAS 3  RIGA, RIGA, LV-1010;SIGNET BANK AS;LV;LATVIA;0
PTFIPLPWE70;UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872;PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA;PL;POLAND;0
IGTRPLPWXXX;UL. PULAWSKA 111A, FLOOR 5  WARSZAWA, MAZOWIECKIE, 02-707;IGORIA TRADE S.A.;PL;POLAND;1
MNAAPLP2XXX;PLAC UNII, BUDYNEK B PULAWSKA 2, FLOOR 3 WARSZAWA, MAZOWIECKIE, 02-566;ACE EUROPE SP. Z O.O.;PL;POLAND;1
PKOPPLPWSMK;WOLOSKA 18, FLOOR V  WARSZAWA, MAZOWIECKIE, 02-675;BANK POLSKA KASA OPIEKI SA - BANK PEKAO SA;PL;POLAND;0
PTFIPLPWFEO;UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872;PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA;PL;POLAND;0
PTFIPLPWP65;UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872;PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA;PL;POLAND;0
CBBRLV22TIP;SMILSU IELA 6  RIGA, RIGA, LV-1050;BLUOR BANK AS;LV;LATVIA;0
CFTEMTM3XXX;FLOOR 3 137 SPINOLA ROAD - ST JULIAN'S, ST. JULIAN'S, STJ 3140 ;OPENPAYD FINANCIAL SERVICES MALTA LTD;MT;MALTA;1
RIBRLV22TIP;J. ALUNANA 2  RIGA, RIGA, LV-1010;REGIONALA INVESTICIJU BANKA;LV;LATVIA;0
BIGKBGSFXXX;BOULEVARD GEN. EDUARD I. TOTLEBEN 53-55 FLOOR 2 SOFIA, SOFIA, 1606;BIGBANK AS - BRANCH BULGARIA;BG;BULGARIA;1
KKSLLV22XXX;AUSEKLA STREET 3-60  RIGA, RIGA, LV-1050;KOOPERATIVA KRAJAIZDEVU SABIEDRIBA ALFABETA;LV;LATVIA;1
APAHMTMTXXX;171 OLD BAKERY STREET  VALLETTA, VALLETTA, VLT 1455;ALPHA FX EUROPE LIMITED;MT;MALTA;1
UNLALV2XTPS;SEB FINANCE CENTER MEISTARU 1, VALDLAUCI, KEKAVAS PAG RIGA, RIGA, LV-1076;SEB BANKA;LV;LATVIA;0
REVCMTM2XXX;FLOOR 1, CENTRAL NORTH BUSINESS CENTRE SQAQ IL-FAWWARA SLIEMA, SLIEMA, SLM 1670;REPLICA SICAV PLC;MT;MALTA;1
ECCVCLRSXXX;  ;CCLV, CONTRAPARTE CENTRAL S.A.;CL;CHILE;1
BMPBPLPPXXX;DOBRA 40  WARSZAWA, MAZOWIECKIE, 00-344;AION BANK S.A.;PL;POLAND;1
HABALV22TIP;BALASTA DAMBIS 1A  RIGA, RIGA, LV-1048;SWEDBANK AS;LV;LATVIA;0
PARXLV22TIP;REPUBLIKAS LAUKUMS 2A  RIGA, RIGA, LV-1010;JSC CITADELE BANKA;LV;LATVIA;0
MFMAMTM2XXX;FLOOR 3, TOWER BUSINESS CENTRE TOWER STREET BIRKIRKARA, BIRKIRKARA, BKR 4013;MIFINITY MALTA LIMITED;MT;MALTA;1
NWDMPLP2XXX;NOWY SWIAT 64  WARSZAWA, MAZOWIECKIE, 00-357;NWAI DOM MAKLERSKI S.A.;PL;POLAND;1
MSDMPLP2XXX;ALEJE JEROZOLIMSKIE 100, FLOOR 6  WARSZAWA, MAZOWIECKIE, 00-807;MICHAEL STROM DOM MAKLERSKI S.A.;PL;POLAND;1
TRELLV22ZIB;SMILSU STREET 1  RIGA, RIGA, LV-1919;TREASURY OF THE REPUBLIC OF LATVIA, THE;LV;LATVIA;0
FEMAMTMADCA;FLOOR 9, ST BUSINESS CENTRE 120 THE STRAND GZIRA, GZIRA, GZR 1027;MULTITUDE BANK P.L.C.;MT;MALTA;0
PYMXMTMAXXX;THE PENTHOUSE TAZ-ZWEJT STREET SAN GWANN, SAN GWANN, SGN 3000;FINANCE INCORPORATED LIMITED;MT;MALTA;1
ANFVMTMMXXX;FLOOR 2, MELITA COURT GIUSEPPE CALI STREET, C/W TRIQ ABATE RIGORD TA'XBIEX, TA'XBIEX, XBX 1420;ANDARIA FINANCIAL SERVICES LIMITED;MT;MALTA;1
LAPBLV2XTIP;BRIVIBAS IELA 54  RIGA, RIGA, LV-1011;AS MAGNETIQ BANK;LV;LATVIA;0
BCECCLRMFCE;  ;BANCO CENTRAL DE CHILE;CL;CHILE;0
BCECCLRMFES;  ;BANCO CENTRAL DE CHILE;CL;CHILE;0
BCECCLRMFRP;  ;BANCO CENTRAL DE CHILE;CL;CHILE;0
EMOEMTM2XXX;TRIQ IX XATT TA' XBIEX  MSIDA, MSIDA, MSD 1516;EMONEY PLC;MT;MALTA;1
SDBMMCM2TPS;LE PARK PALACE 27 AVENUE DE LA COSTA MONACO, MONACO, 98000;SOCIETE GENERALE (FORMERLY SOCIETE DE BANQUE MONACO);MC;MONACO;0
LACBLV2XZMS;K. VALDEMARA STREET 2A  RIGA, RIGA, LV-1050;BANK OF LATVIA;LV;LATVIA;0
AFPCCLRSXXX;  ;AFP CUPRUM, S.A.;CL;CHILE;1
CBEUUYMM0ME;  MONTEVIDEO, MONTEVIDEO;EUROCAM SA;UY;URUGUAY;0
CBEUUYMM0MG;18 DE JULIO 1459  MONTEVIDEO, MONTEVIDEO, 11200;EUROCAM SA;UY;URUGUAY;0
ECFEBG22XXX;SLAVYANSKI BLVD 16  RUSE, RUSE, 7000;ECONT FINANCIAL SERVICES LTD;BG;BULGARIA;1
LTZIBG22XXX;UL. ATON 1A BUILDING 6, FLOOR 5, APT. 26 PLOVDIV, PLOVDIV, 4001;LTZ INVESTMENTS LTD;BG;BULGARIA;1
RIKOLV2XIPA;SKANSTES STREET 12  RIGA, RIGA, LV-1013;LUMINOR BANK AS LATVIAN BRANCH;LV;LATVIA;0
TEPJBGSFXXX;STRANDZHA STR 52  SOFIA, SOFIA, 1303;TENEN PAYMENTS JSC;BG;BULGARIA;1
PTFIPLPWGPL;UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872;PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA;PL;POLAND;0
BCECCLRMCSH;  ;BANCO CENTRAL DE CHILE;CL;CHILE;0
PANXLV22XXX;DELU IELA 4  RIGA, RIGA, LV-1004;UNIFIEDPOST PAYMENTS SA FILIALE LATVIJA;LV;LATVIA;1
VPAYMTM2XXX;FLOOR 5, OHEA BUILDINGS 6 SIR WILLIAM REID STREET GZIRA, GZIRA, GZR 1362;VIVA PAYMENT SERVICES SINGLE MEMBER S.A. MALTA BRANCH;MT;MALTA;1
PANXPLP2XXX;AL. ALEJE JEROZOLIMSKIE 123A  WARSZAWA, MAZOWIECKIE, 02-017;UNIFIEDPOST PAYMENTS JOINT STOCK COMPANY, BRANCH IN POLAND;PL;POLAND;1
SOGEMCM1TPS;PALAIS DE LA SCALA 16 AVENUE DE LA COSTA MONACO, MONACO, 98007;SOCIETE GENERALE MONTE CARLO (MONACO);MC;MONACO;0
ALBPPLPWCUS;LOPUSZANSKA BUSINESS PARK LOPUSZANSKA 38 D WARSZAWA, MAZOWIECKIE, 02-232;ALIOR BANK SPOLKA AKCYJNA;PL;POLAND;0
BATSCLR2XXX;RUTA 68 S/N FUNDO LA ROTUNDA CASABLANCA, CASABLANCA-SETTAT 2480000;BRITISH AMERICAN TOBACCO CHILE OPERACIONES S.A.;CL;CHILE;1
BATSCLR3XXX;  ;BAT CHILE S.A;CL;CHILE;1
AKFSMTM2XXX;THE PENTHOUSE, FLOOR 5, LIFESTAR BUILDING TRIQ TESTAFERRATA TA'XBIEX, TA'XBIEX, XBX 1403;TRIVE FINANCIAL SERVICES MALTA LTD;MT;MALTA;1
LCDELV22EEX;VALNU STREET 1  RIGA, RIGA, LV-1050;NASDAQ CSD SE;LV;LATVIA;0
LCDELV22LTX;VALNU STREET 1  RIGA, RIGA, LV-1050;NASDAQ CSD SE;LV;LATVIA;0
LCDELV22LVX;VALNU STREET 1  RIGA, RIGA, LV-1050;NASDAQ CSD SE;LV;LATVIA;0
BLIKPLPWXXX;CZERNIAKOWSKA X20, 97A, FLOOR 2  WARSZAWA, MAZOWIECKIE, 00-718;POLSKI STANDARD PLATNOSCI SP. Z O.O.;PL;POLAND;1
CITIPLPXBRO;SENATORSKA 16  WARSZAWA, MAZOWIECKIE, 00-923;BANK HANDLOWY W WARSZAWIE SA;PL;POLAND;0
LCDELV22CLM;VALNU STREET 1  RIGA, RIGA, LV-1050;NASDAQ CSD SE;LV;LATVIA;0
ISAOPLPPXXX;RIVERSIDE PARK FABRYCZNA 5A WARSZAWA, MAZOWIECKIE, 00-446;AS INBANK SPOLKA AKCYJNA ODDZIAL W POLSCE;PL;POLAND;1
EKIRPLS1XXX;RTM. PILECKIEGO 65  WARSZAWA, MAZOWIECKIE, 02-781;KRAJOWA IZBA ROZLICZENIOWA S.A. (KIR S.A.);PL;POLAND;1
NOSJPLPPXXX;UL. MALE GARBARY 8  POZNAN, WIELKOPOLSKIE, 61-756;BANK NOWY SPOLKA AKCYJNA;PL;POLAND;1
PYMXMTMTMAL;BLOCK A, FLOOR 2, CAPITAL BUSINESS CENTRE TRIQ TAZ- ZWEJT SAN GWANN, SAN GWANN, SGN 3000;FINANCE INCORPORATED LIMITED;MT;MALTA;0
FNTMPLP2XXX;MARSZALKA JOZEFA PILSUDSKIEGO 45 KOSZALIN, ZACHODNIOPOMORSKIE 75-502;FINTECOM SP. Z O.O.;PL;POLAND;1
CCUHMTMTMBB;FLOOR GF, EWROPA BUSINESS CENTRE TRIQ DUN KARM BIRKIRKARA, BIRKIRKARA, BKR 9034;MONEYBASE;MT;MALTA;0
DIEUMTMTXXX;FLOOR 3, W BUSINESS CENTRE TRIQ DUN KARM BIRKIRKARA, BIRKIRKARA, BKR 9033;DERIV INVESTMENTS (EUROPE) LIMITED;MT;MALTA;1
TPMLMTMTXXX;FLOOR 1, SOHO STRAND FAWWARA BUILDING TRIQ I-IMSIDA GZIRA, GZIRA, GZR 1401;TRANSACT PAYMENTS MALTA LTD;MT;MALTA;1
TIMVMTM2XXX;ARAGON HOUSE BUSINESS CENTRE DRAGONARA ROAD - ST. JULIAN'S, ST JULIAN'S, STJ 3140;TIMBERLAND INVEST LIMITED;MT;MALTA;1
LAVFLV22XXX;DELU IELA 4  RIGA, RIGA, LV-1004;TF BANK AB LATVIJAS FILIALE;LV;LATVIA;1
MTCCMTMTSTJ;ST JULIANS BUSINESS CENTRE 2 ELIA ZAMMIT STREET - ST. JULIAN'S, ST JULIAN'S, STJ 3153;MTACC LIMITED;MT;MALTA;0
NEXDMTM2XXX;  ;NEXTMARKETS TRADING LTD;MT;MALTA;1
AFNTCLRSXXX;  ;ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.;CL;CHILE;1
BCECCLRRXXX;  ;BANCO CENTRAL DE CHILE;CL;CHILE;1
MOPZPLP2XXX;LOK. 700 GRZYBOWSKA 80/82 WARSZAWA, MAZOWIECKIE, 00-844;MONEZIUM SP.Z.O.O;PL;POLAND;1
PYMNBGS2XXX;STR. BULGARIA 49 BUSINESS CENTER VITOSHA, FLOOR 1 SOFIA, SOFIA, 1404;PAYMAN GROUP OOD;BG;BULGARIA;1
ICDRMTMTXXX;FLOOR 4, PALAZZO SPINOLA 46 ST. CHRISTOPHER STREET VALLETTA, VALLETTA, VLT 1464;INSIGNIA CARDS LIMITED;MT;MALTA;1
CCTUCLRRXXX;  ;CENTRO DE COMPENSACION AUTOMATIZADO S.A.;CL;CHILE;1
PCCACLR2XXX;CERRO COLORADO 5240, FLOOR 8 TORRE 2 - SANTIAGO, PROVINCIA DE SANTIAGO, 8320000;COMBANC S.A.;CL;CHILE;1
APAHMTMVXXX;171 OLD BAKERY STREET  VALLETTA, VALLETTA, VLT 1455;ALPHA FX EUROPE LIMITED;MT;MALTA;1
DPCDBGS2XXX;TSARIGRADSKO SHOSSE 115A FLOOR 6-TH SOFIA, SOFIA, 1784;DATECS PAYMENT TECHNOLOGY EAD;BG;BULGARIA;1
CBBRLV22OVE;SMILSU IELA 6  RIGA, RIGA, LV-1050;BLUOR BANK AS;LV;LATVIA;0
MIMKLV22XXX;FLOOR 6TH, SKANSTES CITY SKANSTES STREET 50 RIGA, RIGA, LV-1013;MINTOS MARKETPLACE AS;LV;LATVIA;1
KGITMTMTXXX;FLAT B8, THE ATRIUM WEST STREET MSIDA, MSIDA, MSD 1731;KAIZEN GAMING INTERNATIONAL LIMITED;MT;MALTA;1
BNBGBGSEXXX;KNYAZ ALEXANDER I SQUARE 1  SOFIA, SOFIA, 1000;BULGARIAN NATIONAL BANK;BG;BULGARIA;1
BSBGBGSFST2;TZAR BORIS III BLVD. 41  SOFIA, SOFIA, 1612;BORICA AD;BG;BULGARIA;0
BSBGBGSFTPS;TZAR BORIS III BLVD. 41  SOFIA, SOFIA, 1612;BORICA AD;BG;BULGARIA;0
BNBGBGSAXXX;ALEXANDER BATTENBERG SQUARE 1  SOFIA, SOFIA, 1000;BULGARIAN NATIONAL BANK;BG;BULGARIA;1
BNBGBGSBXXX;ALEXANDER BATTENBERG SQUARE 1  SOFIA, SOFIA, 1000;BULGARIAN NATIONAL BANK;BG;BULGARIA;1
TPEOPLPWXXX;FOREST ZUBRA 1, FLOOR 1 WARSZAWA, MAZOWIECKIE, 01-066;PEKAO TFI S.A.;PL;POLAND;1
JOPSLV22XXX;LIELIRBES 27  RIGA, RIGA, LV-1046;JOOL PAY SIA;LV;LATVIA;1
LCDELV22CEE;VALNU STREET 1  RIGA, RIGA, LV-1050;NASDAQ CSD SE;LV;LATVIA;0
